2018-03-21 23:03:38.063117: Forward-backward across 1 steps, 0.054 +/- 0.000 sec / batch
2018-03-21 23:03:39.832624: step 0, duration = 0.051
2018-03-21 23:03:39.832701: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:03:41.491346: step 0, duration = 0.053
2018-03-21 23:03:41.491421: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:03:43.216208: step 0, duration = 0.051
2018-03-21 23:03:43.216325: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:03:44.980162: step 0, duration = 0.050
2018-03-21 23:03:44.980318: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:03:46.733466: step 0, duration = 0.051
2018-03-21 23:03:46.733571: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:03:48.482415: step 0, duration = 0.052
2018-03-21 23:03:48.482516: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:03:50.232058: step 0, duration = 0.050
2018-03-21 23:03:50.232184: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:03:51.950044: step 0, duration = 0.054
2018-03-21 23:03:51.950122: Forward-backward across 1 steps, 0.054 +/- 0.000 sec / batch
2018-03-21 23:03:53.691356: step 0, duration = 0.053
2018-03-21 23:03:53.691505: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:03:55.507945: step 0, duration = 0.053
2018-03-21 23:03:55.508075: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:03:57.316288: step 0, duration = 0.052
2018-03-21 23:03:57.316449: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:03:59.087327: step 0, duration = 0.051
2018-03-21 23:03:59.087455: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:00.822599: step 0, duration = 0.052
2018-03-21 23:04:00.822675: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:04:02.474792: step 0, duration = 0.051
2018-03-21 23:04:02.474967: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:04.262974: step 0, duration = 0.051
2018-03-21 23:04:04.263046: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:06.046847: step 0, duration = 0.051
2018-03-21 23:04:06.046932: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:07.758528: step 0, duration = 0.051
2018-03-21 23:04:07.758601: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:09.401272: step 0, duration = 0.051
2018-03-21 23:04:09.401400: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:11.078677: step 0, duration = 0.053
2018-03-21 23:04:11.078835: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:04:12.768635: step 0, duration = 0.050
2018-03-21 23:04:12.768708: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:04:14.488223: step 0, duration = 0.051
2018-03-21 23:04:14.488329: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:16.218860: step 0, duration = 0.051
2018-03-21 23:04:16.218943: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:17.902473: step 0, duration = 0.052
2018-03-21 23:04:17.902603: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:04:19.635584: step 0, duration = 0.050
2018-03-21 23:04:19.635740: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:04:21.340865: step 0, duration = 0.051
2018-03-21 23:04:21.340936: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:23.109481: step 0, duration = 0.051
2018-03-21 23:04:23.109559: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:24.869441: step 0, duration = 0.052
2018-03-21 23:04:24.869523: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:04:26.455987: step 0, duration = 0.051
2018-03-21 23:04:26.456137: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:04:28.205271: step 0, duration = 0.052
2018-03-21 23:04:28.205385: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
perf stat -r 100 -e cpu/event=0xd2,umask=0x4,name=mem_load_uops_l3_hit_retired_xsnp_hitm/ python benchmark_alexnet.py
